X,Y,Z
-3530,4702,19071
-3471,4696,19062
-3488,4723,19053
-3430,4716,19034
-3445,4740,19016
-3393,4742,19034
-3416,4778,19063
-3360,4774,19063
-3377,4802,19053
-3324,4801,19073
-3336,4823,19045
-3284,4823,19064
-3295,4843,19027
-3239,4837,19017
-3260,4873,19046
-3205,4868,19046
-3225,4902,19064
-3170,4895,19065
-3179,4915,19028
-3126,4912,19037
-3147,4949,19066
-3084,4930,19018
-3102,4963,19028
-3050,4960,19048
-3063,4987,19028
-3020,4998,19103
-3022,5007,19019
-2973,5008,19057
-2987,5037,19048
-2932,5027,19048
-2949,5061,19057
-2889,5041,19020
-2911,5086,19077
-2852,5069,19049
-2868,5103,19058
-2815,5095,19068
-2828,5125,19058
-2768,5103,19012
-2788,5146,19058
-2731,5131,19040
-2746,5165,19050
-2688,5146,19022
-2703,5180,19031
-2651,5172,19051
-2660,5197,19022
-2611,5194,19061
-2622,5222,19051
-2567,5207,19032
-2585,5250,19079
-2527,5227,19042
-2538,5257,19033
-2483,5240,19024
-2495,5273,19024
-2445,5266,19053
-2455,5294,19034
-2400,5275,19025
-2411,5308,19025
-2357,5290,19016
-2373,5333,19054
-2319,5316,19044
-2330,5348,19045
-2274,5325,19016
-2287,5363,19035
-2235,5348,19045
-2247,5386,19064
-2187,5351,18999
-2204,5400,19056
-2151,5381,19046
-2161,5413,19046
-2108,5397,19045
-2117,5426,19037
-2068,5418,19075
-2076,5447,19056
-2023,5426,19047
-2033,5462,19056
-1980,5442,19057
-1990,5477,19057
-1934,5446,19020
-1942,5476,19010
-1890,5457,19010
-1906,5511,19086
-1847,5472,19011
-1858,5512,19039
-1804,5485,19011
-1821,5544,19105
-1761,5499,19021
-1767,5525,18993
-1717,5509,19012
-1730,5559,19069
-1674,5523,19022
-1678,5545,18975
-1629,5531,19013
-1636,5563,19005
-1586,5544,19013
-1594,5580,19023
